operation,n,time
fibonacci,10000,0.00432395
fibonacci,20000,0.0172239
fibonacci,30000,0.0382484
fibonacci,40000,0.0649168
fibonacci,50000,0.101687
fibonacci,60000,0.142589
fibonacci,70000,0.192569
fibonacci,80000,0.250786
fibonacci,90000,0.316608
fibonacci,100000,0.389953
factorial,1000,0.0211385
factorial,2000,0.167364
factorial,3000,0.564885
factorial,4000,1.35661
factorial,5000,2.69394
factorial,6000,4.74404
factorial,7000,7.61619
factorial,8000,11.6314
factorial,9000,16.801
factorial,10000,23.3416
